ts,p1,p2,p3,p4
0,227,214,0,0
10,249,222,20,10
20,218,213,0,1
30,243,220,0,0
40,230,217,32,21
50,223,214,0,0
60,248,222,20,10
70,220,213,0,1
80,248,220,0,0
90,238,217,33,21
100,230,214,0,0
110,255,222,20,10
120,225,213,0,2
130,248,220,0,0
140,235,217,33,21
150,225,213,0,0
160,249,221,19,10
170,217,213,0,2
180,239,219,0,0
190,226,216,33,20
200,215,213,0,0
210,234,221,19,9
220,199,213,0,2
230,217,219,0,0
240,203,217,33,21
250,188,213,0,0
260,212,221,18,9
270,179,213,1,2
280,203,219,0,0
290,197,216,33,21
300,187,212,0,0
310,214,221,18,9
320,189,213,1,2
330,217,219,0,0
340,213,216,33,21
350,209,212,0,0
360,244,221,17,8
370,222,213,2,2
380,253,219,0,0
390,244,216,33,21
400,240,212,0,0
410,276,221,17,8
420,222,213,2,3
430,235,219,0,0
440,208,216,33,21
450,186,212,0,0
460,217,221,17,8
470,194,213,2,3
480,251,219,0,0
490,288,217,33,20
500,337,213,0,0
510,446,221,16,8
520,458,214,3,3
530,533,220,0,0
540,565,217,33,21
550,574,213,0,0
560,631,222,16,8
570,589,214,3,3
580,598,220,0,0
590,558,218,33,21
600,509,213,0,0
610,512,222,16,7
620,434,214,3,3
630,415,220,0,0
640,362,218,33,21
650,313,213,0,0
660,318,222,15,7
670,248,215,4,3
680,255,221,0,0
690,228,218,33,20
700,193,213,0,0
710,231,223,15,7
720,201,216,4,4
730,225,221,0,0
740,214,218,33,20
750,195,214,0,0
760,223,223,14,7
770,190,215,4,4
780,223,220,0,0
790,225,218,33,20
800,221,213,0,0
810,261,222,14,6
820,226,215,5,4
830,245,220,0,0
840,233,218,33,20
850,213,213,0,0
860,251,222,13,6
870,216,215,4,4
880,249,221,0,0
890,266,218,33,20
900,264,214,0,0
910,331,222,13,6
920,296,215,5,4
930,336,220,0,0
940,333,218,33,21
950,307,213,0,0
960,354,222,13,6
970,302,214,5,5
980,320,220,0,0
990,302,218,33,20
1000,277,213,0,0
1010,306,222,12,6
1020,261,215,5,5
1030,263,220,0,0
1040,230,218,33,20
1050,187,213,0,0
1060,214,222,12,6
1070,173,215,6,5
1080,188,220,0,0
1090,171,218,34,20
1100,142,213,0,0
1110,171,222,12,5
1120,117,214,6,5
1130,145,220,0,0
1140,137,217,34,21
1150,110,213,0,0
1160,147,221,11,5
1170,106,214,7,6
1180,122,219,0,0
1190,107,218,33,20
1200,77,212,0,0
1210,122,221,11,5
1220,82,214,7,5
1230,107,219,0,0
1240,103,217,33,20
1250,76,212,0,0
1260,116,221,11,5
1270,75,214,7,6
1280,96,219,0,0
1290,88,218,33,20
1300,62,213,0,0
1310,104,222,11,5
1320,66,216,7,6
1330,85,220,0,0
1340,87,219,34,20
1350,73,213,0,0
1360,122,222,10,4
1370,86,215,8,6
1380,108,220,0,0
1390,99,219,33,20
1400,71,213,0,0
1410,115,222,10,3
1420,85,215,8,6
1430,110,220,0,0
1440,108,219,34,20
1450,85,213,0,0
1460,126,222,9,4
1470,95,215,9,6
1480,114,220,0,0
1490,102,219,34,20
1500,76,212,0,0
1510,104,222,9,4
1520,79,215,9,7
1530,105,220,0,0
1540,111,220,33,20
1550,93,212,0,0
1560,151,223,9,3
1570,122,215,9,7
1580,156,220,0,0
1590,158,221,33,20
1600,144,212,0,0
1610,185,224,8,3
1620,155,215,9,7
1630,178,220,0,0
1640,179,221,33,20
1650,152,212,0,0
1660,185,224,8,3
1670,154,216,10,7
1680,171,221,0,0
1690,182,222,33,20
1700,159,212,0,0
1710,201,224,8,3
1720,180,215,10,8
1730,186,221,0,0
1740,184,222,33,20
1750,157,214,0,0
1760,169,226,8,3
1770,117,218,11,8
1780,111,223,0,0
1790,98,224,33,20
1800,68,215,0,0
1810,96,227,7,2
1820,57,219,11,9
1830,73,223,0,0
1840,71,225,33,20
1850,30,215,0,0
1860,80,227,7,2
1870,45,219,12,9
1880,87,223,0,0
1890,133,225,32,20
1900,140,215,0,0
1910,244,227,7,2
1920,244,218,12,10
1930,324,223,0,0
1940,391,225,32,19
1950,412,215,0,0
1960,528,227,7,2
1970,535,219,13,10
1980,640,224,0,0
1990,734,226,32,19
2000,808,215,0,0
2010,954,228,6,1
2020,971,219,14,10
2030,1040,224,0,0
2040,1085,226,32,19
2050,1050,215,0,0
2060,1100,227,6,1
2070,1066,218,14,11
2080,1058,223,0,0
2090,1028,225,32,19
2100,923,215,0,0
2110,881,228,5,1
2120,768,219,15,11
2130,718,223,0,0
2140,666,226,32,19
2150,572,215,0,0
2160,566,227,5,1
2170,475,219,16,12
2180,448,223,0,0
2190,418,226,32,19
2200,360,215,0,0
2210,380,228,5,1
2220,331,219,16,11
2230,339,223,0,0
2240,345,226,32,19
2250,314,215,0,0
2260,336,228,5,1
2270,293,219,17,12
2280,298,223,0,0
2290,284,225,32,19
2300,241,214,0,0
2310,276,227,4,0
2320,241,218,17,12
2330,249,222,0,0
2340,252,225,32,19
2350,216,214,0,0
2360,250,227,4,0
2370,219,218,18,12
2380,238,223,0,0
2390,251,226,32,19
2400,224,214,0,0
2410,270,227,4,0
2420,245,218,18,13
2430,269,222,0,0
2440,282,225,32,19
2450,248,214,0,0
2460,296,227,3,0
2470,275,218,19,13
2480,303,222,0,0
2490,320,226,32,19
2500,296,214,0,0
2510,358,227,3,0
2520,349,219,19,14
2530,385,222,0,0
2540,414,226,31,18
2550,392,214,0,0
2560,447,227,3,0
2570,425,218,20,14
2580,448,222,0,0
2590,468,226,31,18
2600,439,214,0,0
2610,490,226,3,0
2620,461,218,20,14
2630,474,222,0,0
2640,487,226,31,18
2650,457,214,0,0
2660,504,226,3,0
2670,477,218,21,15
2680,489,221,0,0
2690,494,226,31,18
2700,443,214,0,0
2710,477,226,2,0
2720,439,218,21,15
2730,444,221,0,0
2740,449,226,31,18
2750,408,213,0,0
2760,453,225,2,0
2770,422,216,21,15
2780,440,219,0,0
2790,459,223,31,18
2800,422,211,0,0
2810,464,223,2,0
2820,430,215,22,15
2830,437,218,0,0
2840,445,223,31,18
2850,403,210,0,0
2860,442,223,1,0
2870,416,215,22,15
2880,427,218,0,0
2890,447,223,30,18
2900,413,210,0,0
2910,453,222,1,0
2920,410,214,22,15
2930,406,218,0,0
2940,410,223,30,18
2950,350,210,0,0
2960,373,223,1,0
2970,323,215,22,15
2980,316,218,0,0
2990,321,223,30,18
3000,277,210,0,0
3010,311,222,1,0
3020,278,215,23,16
3030,292,217,0,0
3040,323,223,30,17
3050,301,210,0,0
3060,383,222,1,0
3070,392,215,23,16
3080,433,217,0,0
3090,469,223,30,17
3100,435,210,0,0
3110,469,222,0,0
3120,425,215,23,16
3130,415,217,0,0
3140,421,223,30,17
3150,364,210,0,0
3160,401,222,0,0
3170,365,215,24,16
3180,375,217,0,0
3190,401,222,30,17
3200,374,209,0,0
3210,437,222,0,0
3220,417,215,24,16
3230,440,218,0,0
3240,468,224,30,17
3250,425,211,0,0
3260,464,224,0,0
3270,415,216,24,17
3280,411,219,0,0
3290,407,225,29,17
3300,353,212,0,0
3310,383,224,0,0
3320,348,217,25,17
3330,347,219,0,0
3340,354,225,29,17
3350,307,212,0,0
3360,344,224,0,0
3370,320,217,25,17
3380,330,220,0,0
3390,348,226,29,17
3400,307,213,0,0
3410,355,225,0,0
3420,325,219,26,17
3430,324,221,0,0
3440,334,227,29,17
3450,274,213,0,0
3460,290,226,0,0
3470,245,219,26,18
3480,247,220,0,0
3490,266,227,29,16
3500,220,214,0,0
3510,254,226,0,0
3520,215,219,26,18
3530,209,221,0,0
3540,219,227,28,16
3550,173,214,0,0
3560,208,226,0,0
3570,176,219,27,18
3580,184,221,0,0
3590,207,227,28,16
3600,165,213,0,0
3610,211,226,0,0
3620,193,219,27,18
3630,206,220,0,0
3640,228,227,28,16
3650,191,213,0,0
3660,229,225,0,0
3670,202,219,27,18
3680,208,220,0,0
3690,227,227,28,16
3700,186,213,0,0
3710,227,225,0,0
3720,197,219,28,19
3730,201,220,0,0
3740,223,227,27,15
3750,181,213,0,0
3760,233,225,0,0
3770,209,218,28,19
3780,217,220,0,0
3790,243,226,27,16
3800,187,213,0,0
3810,234,225,0,0
3820,205,219,28,19
3830,215,220,0,0
3840,244,226,27,16
3850,197,213,0,0
3860,250,225,0,0
3870,223,219,28,19
3880,233,220,0,0
3890,252,227,27,16
3900,210,214,0,0
3910,250,226,0,0
3920,220,220,29,19
3930,220,220,0,0
3940,236,227,27,15
3950,197,213,0,0
3960,235,225,0,0
3970,215,219,29,19
3980,220,219,0,0
3990,241,227,27,15
4000,201,213,0,0
4010,236,225,0,0
4020,213,219,29,19
4030,217,219,0,0
4040,237,227,26,15
4050,195,213,0,0
4060,230,225,0,0
4070,203,219,29,20
4080,207,219,0,0
4090,231,227,26,15
4100,191,213,0,0
4110,229,225,0,0
4120,211,219,29,20
4130,219,218,0,0
4140,260,227,26,15
4150,216,214,0,0
4160,271,226,0,0
4170,250,219,29,19
4180,259,218,0,0
4190,297,227,26,14
4200,254,213,0,0
4210,314,225,0,0
4220,297,219,30,19
4230,305,218,0,0
4240,346,227,25,14
4250,298,213,0,0
4260,353,225,0,0
4270,332,219,30,19
4280,340,218,0,0
4290,386,227,25,14
4300,342,214,0,0
4310,395,225,0,0
4320,369,219,30,19
4330,370,217,0,0
4340,409,226,25,14
4350,361,213,0,0
4360,417,224,0,0
4370,401,219,30,20
4380,404,217,0,0
4390,451,227,25,14
4400,408,213,0,0
4410,468,225,0,0
4420,449,219,30,20
4430,453,217,0,0
4440,502,226,25,14
4450,444,213,0,0
4460,492,224,0,0
4470,467,219,30,20
4480,475,216,0,0
4490,527,226,24,13
4500,482,213,0,0
4510,545,224,0,0
4520,541,219,30,20
4530,553,217,0,0
4540,604,226,24,13
4550,558,213,0,0
4560,618,225,0,0
4570,596,219,30,20
4580,591,217,0,0
4590,631,226,24,13
4600,575,213,0,0
4610,630,224,0,0
4620,609,219,30,20
4630,605,216,0,0
4640,650,226,24,13
4650,594,213,0,0
4660,645,224,0,0
4670,617,219,30,20
4680,606,216,0,0
4690,643,226,24,13
4700,580,213,0,0
4710,623,224,0,0
4720,593,219,31,20
4730,577,216,0,0
4740,613,226,23,13
4750,552,213,0,0
4760,595,224,0,0
4770,568,219,31,20
4780,556,215,0,0
4790,598,226,23,12
4800,542,213,0,0
4810,582,224,0,0
4820,547,219,31,20
4830,528,216,0,0
4840,562,226,23,12
4850,497,213,0,0
4860,540,224,0,0
4870,514,219,31,20
4880,497,215,0,0
4890,537,226,22,12
4900,481,213,0,0
4910,520,223,0,0
4920,481,219,31,20
4930,454,215,0,0
4940,485,226,22,12
4950,421,213,0,0
4960,451,223,0,0
4970,412,219,31,20
4980,384,215,0,0
4990,416,226,22,12
5000,358,213,0,0
5010,397,223,0,0
5020,370,219,31,20
5030,364,215,0,0
5040,410,226,22,12
5050,354,213,0,0
5060,399,223,0,0
5070,378,219,31,20
5080,368,215,0,0
5090,418,226,21,11
5100,375,213,0,0
5110,434,224,0,0
5120,427,219,31,20
5130,430,215,0,0
5140,493,227,21,11
5150,451,214,0,0
5160,505,224,0,0
5170,487,219,32,20
5180,474,215,0,0
5190,525,226,21,11
