ts,p1,p2,p3,p4,sum
0,337,207,0,0,544
10,352,213,26,14,605
20,317,202,0,0,519
30,346,212,0,0,558
40,318,207,30,20,575
50,314,206,0,0,520
60,329,213,25,14,581
70,294,201,0,0,495
80,326,211,0,0,537
90,304,206,31,20,561
100,302,205,0,0,507
110,318,212,25,13,568
120,276,201,0,0,477
130,302,211,0,0,513
140,282,206,31,20,539
150,279,204,0,0,483
160,299,213,24,13,549
170,264,201,0,0,465
180,299,211,0,0,510
190,282,206,31,20,539
200,282,204,0,0,486
210,307,213,23,12,555
220,273,201,0,0,474
230,307,211,0,0,518
240,290,207,32,20,549
250,292,203,0,0,495
260,325,213,22,12,572
270,297,202,0,0,499
280,341,211,0,0,552
290,332,207,32,20,591
300,333,204,0,0,537
310,364,213,21,11,609
320,332,202,0,0,534
330,365,212,0,0,577
340,342,207,32,20,601
350,334,204,0,0,538
360,359,214,21,11,605
370,316,202,0,0,518
380,338,211,0,0,549
390,313,207,32,20,572
400,304,203,0,0,507
410,328,213,20,11,572
420,291,202,0,1,494
430,319,211,0,0,530
440,303,207,32,21,563
450,296,202,0,0,498
460,323,213,20,10,566
470,289,204,0,1,494
480,318,214,0,0,532
490,303,210,32,20,565
500,296,206,0,0,502
510,325,217,19,10,571
520,292,205,1,2,500
530,321,213,0,0,534
540,307,210,33,20,570
550,300,205,0,0,505
560,330,216,18,9,573
570,299,204,1,2,506
580,330,213,0,0,543
590,317,209,33,20,579
600,304,203,0,0,507
610,325,215,17,9,566
620,281,204,2,3,490
630,295,212,0,0,507
640,274,209,33,21,537
650,256,203,0,0,459
660,281,215,16,8,520
670,242,204,3,3,452
680,265,212,0,0,477
690,249,209,33,20,511
700,238,203,0,0,441
710,272,215,15,7,509
720,238,204,3,3,448
730,266,212,0,0,478
740,255,209,33,20,517
750,238,203,0,0,441
760,276,215,15,7,513
770,246,204,4,4,458
780,272,212,0,0,484
790,258,209,33,20,520
800,248,203,0,0,451
810,297,215,14,6,532
820,280,205,5,4,494
830,324,212,0,0,536
840,322,210,33,21,586
850,311,203,0,0,514
860,360,216,13,6,595
870,332,205,5,5,547
880,362,212,0,0,574
890,356,210,33,20,619
